message,subject,intent,issue
Very nice support ??,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Very nice support ?? 
Very polite and thank u??,,Refund Enquiry,Refund Enquiry - Very polite and thank u??
Excellent   care service. So many Thanks to   service representative.,,Wrong,Wrong - Excellent   care service. So many Thanks to   service representative. 
Excellent interaction with full satisfaction.  Thanks to Customer support Executive Mr.  .,,Installation/demo,Installation/demo - Excellent interaction with full satisfaction.  Thanks to Customer support Executive Mr.  .
The customer service was very well... They are very supportive??,,Customer Requested Modifications,Customer Requested Modifications - The customer service was very well... They are very supportive??
Whatever my issue are there it's sloved now I m very happy to shop on Shopzilla app it's a fantastic app wholeover the world thnxx Shopzilla ...????,,Seller Cancelled Order,Seller Cancelled Order - Whatever my issue are there it's sloved now I m very happy to shop on Shopzilla app it's a fantastic
Very nice,,Refund Related Issues,Refund Related Issues - Very nice 
???? ?????,,Order status enquiry,Order status enquiry - ???? ?????
V good,,Refund Related Issues,Refund Related Issues - V good 
Good service,,Installation/demo,Installation/demo - Good service
She gave me wrong information,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - She gave me wrong information 
It was nice to talk,,Order status enquiry,Order status enquiry - It was nice to talk
I want my order as soon as possible,,Order status enquiry,Order status enquiry - I want my order as soon as possible 
Uable to solve my oroduct related issue not happy with the services,,Installation/demo,Installation/demo - Uable to solve my oroduct related issue not happy with the services
Very good,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Very good 
Very good,,Delayed,Delayed - Very good 
Very bed,,Delayed,Delayed - Very bed 
I know that there is no returnable policy for a few items but if that item is defective or partially delivered then there should be an option to raise our concern directly from the   page.,,Return request,Return request - I know that there is no returnable policy for a few items but if that item is defective or partially
Her voice is really nice I am extremely happy with her voice ????,,General Enquiry,General Enquiry - Her voice is really nice I am extremely happy with her voice ????
Good service,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Good service 
There should be direct option to call customer care and talk to representative,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - There should be direct option to call customer care and talk to representative
Good,,Fraudulent User,Fraudulent User - Good 
Poor delevary,,UnProfessional Behaviour,UnProfessional Behaviour - Poor delevary 
Mind blowing,,Refund Enquiry,Refund Enquiry - Mind blowing 
Good work costume support,,Delayed,Delayed - Good work costume support
Very Very good,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Very Very good 
Dear Shopzilla customer: why you Guies  say my order is cancelled and no any Amount deducted but till now my order is not cancelled  if I  want to cancelled my order Than charge pay 200 hundred who is Responsible foy this pay?? Best,,Not Needed,Not Needed - Dear Shopzilla customer: why you Guies  say my order is cancelled and no any Amount deducted but til
Good interaction,,Product Specific Information,Product Specific Information - Good interaction 
Kindly make easy to contact customer care in case of serious issues to resolve the issue quickly.,,Refund Enquiry,Refund Enquiry - Kindly make easy to contact customer care in case of serious issues to resolve the issue quickly.
?????,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - ????? 
Increase staff salaries,,Refund Related Issues,Refund Related Issues - Increase staff salaries 
Veri good,,Affiliate Offers,Affiliate Offers - Veri good 
Very poor service of Shopzilla customer service no proper information given and no solution of our problems.Shopzilla totally waste of time and money,,Fraudulent User,Fraudulent User - Very poor service of Shopzilla customer service no proper information given and no solution of our p
Very useful information about the customer thanking you medam,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Very useful information about the customer thanking you medam 
Delivery should be confirm and should be delivered on the exact date,,Refund Related Issues,Refund Related Issues - Delivery should be confirm and should be delivered on the exact date
Very good,,Call disconnected,Call disconnected - Very good 
I want return the product,,Installation/demo,Installation/demo - I want return the product
Too good,,Customer Requested Modifications,Customer Requested Modifications - Too good
Senear sport,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Senear sport 
Exllent,,Return request,Return request - Exllent 
Thankyou my dear customer,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Thankyou my dear customer
"You have good communication skills are very good,you need a promotion for TL or SME atlist",,Refund Related Issues,"Refund Related Issues - You have good communication skills are very good,you need a promotion for TL or SME atlist "
Use product moof set,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Use product moof set
Customer good support,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Customer good support 
Worst experience,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Worst experience 
Solve my issue p,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Solve my issue p
Polite,,Customer Requested Modifications,Customer Requested Modifications - Polite
Bad experience,,Fraudulent User,Fraudulent User - Bad experience 
Excellent,,Order status enquiry,Order status enquiry - Excellent
Need fast Delevary,,Delayed,Delayed - Need fast Delevary 
Very good support thanks,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Very good support thanks
Not helpful,,Service Centres Related,Service Centres Related - Not helpful
Good,,Invoice request,Invoice request - Good
My issue is not resolved,,Delayed,Delayed - My issue is not resolved
Nice Thank you,,Installation/demo,Installation/demo - Nice Thank you 
The guy helped me really fast he was very professional i loved it,,Fraudulent User,Fraudulent User - The guy helped me really fast he was very professional i loved it
Take least time to solve any issue,,Product Specific Information,Product Specific Information - Take least time to solve any issue
Very good,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Very good
No,,Online Payment Issues,Online Payment Issues - No
Agent was quite good and she is understanding and she is having a good nature,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Agent was quite good and she is understanding and she is having a good nature
Very nice costomer support,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Very nice costomer support 
Connecting time was very long,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Connecting time was very long 
Only ticket rises this is not solutions. Please foxes in resolution.,,Technician Visit,Technician Visit - Only ticket rises this is not solutions. Please foxes in resolution.
Very helpfull and give sufficent time to listen my problem,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Very helpfull and give sufficent time to listen my problem
Very bad service provide by Shopzilla,,Refund Enquiry,Refund Enquiry - Very bad service provide by Shopzilla 
Thank you,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Thank you
Very good,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Very good 
Very good,,Delayed,Delayed - Very good 
Good,,Refund Enquiry,Refund Enquiry - Good 
Mere product ke andar   aaya hai mising ho gaya hai product,,Missing,Missing - Mere product ke andar   aaya hai mising ho gaya hai product
All good,,Delayed,Delayed - All good 
The Agent is excellent & brilliant for solve costumers Problems and Really I am happy for this.,,Order status enquiry,Order status enquiry - The Agent is excellent & brilliant for solve costumers Problems and Really I am happy for this. 
Retan,,Damaged,Damaged - Retan
I am happy by the survice,,Return request,Return request - I am happy by the survice
Escalation matrix required,,Delayed,Delayed - Escalation matrix required
Good,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Good 
Please connect the call soon and the update should be done without any call,,Order status enquiry,Order status enquiry - Please connect the call soon and the update should be done without any call
Sorry to say Very bad service I faced....,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Sorry to say Very bad service I faced.... 
Thank you so much . This time I am extremely happy with Shopzilla executive.,,Online Payment Issues,Online Payment Issues - Thank you so much . This time I am extremely happy with Shopzilla executive.  
Nice,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Nice
Very good,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Very good 
Thank i,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Thank i
Nicely talk,,UnProfessional Behaviour,UnProfessional Behaviour - Nicely talk
Customer support number direct on page,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Customer support number direct on page
nothing,,Return request,Return request - nothing
Good,,Fraudulent User,Fraudulent User - Good
Good,,Order status enquiry,Order status enquiry - Good
Thankyou for the help,,Order status enquiry,Order status enquiry - Thankyou for the help 
Good support,,Order status enquiry,Order status enquiry - Good support 
Good,,Delayed,Delayed - Good
Salary badwado us executive ki,,Customer Requested Modifications,Customer Requested Modifications - Salary badwado us executive ki 
Please bring back the refund option too.,,Return request,Return request - Please bring back the refund option too.
Good,,Wrong,Wrong - Good
They does not solve my problems,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - They does not solve my problems
100% customer satisfaction only,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - 100% customer satisfaction only 
Third class service,,Invoice request,Invoice request - Third class service 
Nice Thank you,,Order status enquiry,Order status enquiry - Nice Thank you 
Very good,,Priority delivery,Priority delivery - Very good
Fully waste my money,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Fully waste my money
"In help menu itself, there should be an option of chat with customer rep.",,Wrong,"Wrong - In help menu itself, there should be an option of chat with customer rep."
Excellent,,Delayed,Delayed - Excellent 
My issue was solved I m happy coustomer service ??,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - My issue was solved I m happy coustomer service ??
No,,Order status enquiry,Order status enquiry - No
Normal,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Normal 
Item up to 30 days It doesn't come to work,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Item up to 30 days It doesn't come to work
The product you will not return then please don't shell your app company not help costmar,,Installation/demo,Installation/demo - The product you will not return then please don't shell your app company not help costmar 
Good behaviour and best communication,,Service Centres Related,Service Centres Related - Good behaviour and best communication 
"Take action immediately, don't prolong it.",,UnProfessional Behaviour,"UnProfessional Behaviour - Take action immediately, don't prolong it."
Ok thanks thanks,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Ok thanks thanks 
Good,,Service Centres Related,Service Centres Related - Good 
Good service,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Good service 
Shopzilla is my first choice when it's come to shopping for me.I love the service as always.,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Shopzilla is my first choice when it's come to shopping for me.I love the service as always. 
?????? ?? ????? ??? ?? ???? ?? ??? ??????? ??? ?? ????? ??????? ????? ??? ?? ??????? ??? ??? ?? ???? ???????? ?? ?? ???? ???? ???? ??????,,UnProfessional Behaviour,UnProfessional Behaviour - ?????? ?? ????? ??? ?? ???? ?? ??? ??????? ??? ?? ????? ??????? ????? ??? ?? ??????? ??? ??? ?? ????
Very poor customer care behaviour,,Invoice request,Invoice request - Very poor customer care behaviour 
It was a great pleasure to talk to you. Thank you. Your call was very important for us.,,Delayed,Delayed - It was a great pleasure to talk to you. Thank you. Your call was very important for us. 
Delever boy very bad,,Delayed,Delayed - Delever boy very bad 
Over Good,,Customer Requested Modifications,Customer Requested Modifications - Over Good 
Take action on seller for worried to customer..,,Missing,Missing - Take action on seller for worried to customer..
Thanks,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Thanks 
Bad,,Installation/demo,Installation/demo - Bad
Nice ?? but muje delevery time pr,,Priority delivery,Priority delivery - Nice ?? but muje delevery time pr   
Good ??,,Signup Issues,Signup Issues - Good ??
Realme mobile damage,,Installation/demo,Installation/demo - Realme mobile damage
Nothing,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Nothing
"Thank you Shopzilla,  it upCustomer executive very good Im satisfied with customer executive,",,Delayed,"Delayed - Thank you Shopzilla,  it upCustomer executive very good Im satisfied with customer executive,"
Ok,,Delayed,Delayed - Ok
Call disconnected in between but didn't received the calls again from Shopzilla side... We use to replace the request...,,Exchange / Replacement,Exchange / Replacement -  Call disconnected in between but didn't received the calls again from Shopzilla side... We use to r
Thank's Shopzilla customer care,,Wrong,Wrong - Thank's Shopzilla customer care
Product very less size but not recognized,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Product very less size but not recognized
No,,Invoice request,Invoice request - No
Thank you,,Return request,Return request - Thank you 
Executive was professional,,Service Centres Related,Service Centres Related - Executive was professional 
Reduce late delivery for electronic products,,Order status enquiry,Order status enquiry - Reduce late delivery for electronic products
"It's Shopzilla who delivered the wrong product than ordered.Even requested to exchange (not return). I understood the return policy but since I was not expecting anything wrong from Shopzilla that they will deliver small size when medium size ordered. Anyways, not happy as they didn't accept my request for exchange.",,Reverse Pickup Enquiry,Reverse Pickup Enquiry - It's Shopzilla who delivered the wrong product than ordered.Even requested to exchange (not return).
...........,,Return request,Return request - ...........
Pathetic Agent,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Pathetic Agent
Giod,,Fraudulent User,Fraudulent User - Giod
"They talk very well and if there is a problem, they try to solve it in the best possible way.",,Reverse Pickup Enquiry,"Reverse Pickup Enquiry - They talk very well and if there is a problem, they try to solve it in the best possible way."
Nice,,Product Specific Information,Product Specific Information - Nice
Very good response,,Not Needed,Not Needed - Very good response 
Disgusting,,Installation/demo,Installation/demo - Disgusting 
Love you.??,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Love you.??
Na,,Installation/demo,Installation/demo - Na
Very good toking,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Very good toking 
Good work,,Order status enquiry,Order status enquiry - Good work
Thank you,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Thank you 
Provide more information to app and customer service staff..Not collaboration between delivery agency,,Refund Enquiry,Refund Enquiry - Provide more information to app and customer service staff..Not collaboration between delivery agenc
Very good,,Order status enquiry,Order status enquiry - Very good 
Good,,Installation/demo,Installation/demo - Good
"I am order 6 nom shoes but received 8 nom shoes, policy expired but I want to return, because I am out off town.",,Reverse Pickup Enquiry,"Reverse Pickup Enquiry - I am order 6 nom shoes but received 8 nom shoes, policy expired but I want to return, because I am o"
It was an awesome experience to interact with your customer care. problem listened carefully and finally resolved. Thank you.,,Return request,Return request - It was an awesome experience to interact with your customer care. problem listened carefully and fin
Shopzilla is in the seller's favor even at the cost of cheating the customer.,,Delayed,Delayed - Shopzilla is in the seller's favor even at the cost of cheating the customer.   
"First of all you guys stop giving wrong information why your customers are troubled by giving wrong informationYou have been made to solve the problem of that pay customer and not to give wrong information.If you guys don't solve this thing, then I will have to go shopping somewhere elseI am very embarrassed to say that I have been associated with your Shopzilla for almost 5 years.I want to speak simple, keep good people in customer care who can give royal information.                                   Thanku",,Call disconnected,Call disconnected - First of all you guys stop giving wrong information why your customers are troubled by giving wrong 
Thanks,,Return request,Return request - Thanks 
Customer talking good,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Customer talking good 
Teach to your employee,,Delayed,Delayed - Teach to your employee
Prepaid ordered are being misused by delivery partners ..please have a glance over it ...and take severe act upon it,,Delayed,Delayed - Prepaid ordered are being misused by delivery partners ..please have a glance over it ...and take se
Very very much satisfied with Customer care executive. She really understand and work on it and guide me the path which can resolve my issueThanks a lot. Appreciate a lot for her support.,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Very very much satisfied with Customer care executive. She really understand and work on it and guid
Very humble,,Return request,Return request - Very humble
Customer Support Executive's Behaviour and communication skills found  outstanding as I expected from Shopzilla... Highly thankful to Shopzilla for selecting such Executives...10 out of 10...,,Return request,Return request - Customer Support Executive's Behaviour and communication skills found  outstanding as I expected fro
Ok,,Priority delivery,Priority delivery - Ok
Sir please change my airpods boat 161,,Installation/demo,Installation/demo - Sir please change my airpods boat 161
Bh making instant refund,,Fraudulent User,Fraudulent User - Bh making instant refund 
Good,,Wrong,Wrong - Good
Best regards,,Refund Enquiry,Refund Enquiry - Best regards 
Good customer support ??,,Missing,Missing - Good customer support ??
Thank you Shopzilla for solved my concern,,Return request,Return request - Thank you Shopzilla for solved my concern
No problem,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - No problem 
Please make reaching customer service more convenient.,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Please make reaching customer service more convenient.
Excellent,,Damaged,Damaged - Excellent 
Very bad,,Order status enquiry,Order status enquiry - Very bad
Na,,Return request,Return request - Na
Yup,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Yup
I satisfied with your resolution,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - I satisfied with your resolution 
Call back needs to be improved.,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Call back needs to be improved.
dilevry very late I am not happy,,UnProfessional Behaviour,UnProfessional Behaviour - dilevry very late I am not happy 
My query has not been resolve and it is not gonna resolve by any of u. Thank u sooooo much for u to not taking any effort,,Return request,Return request - My query has not been resolve and it is not gonna resolve by any of u. Thank u sooooo much for u to 
Customer care  support is very helpful and candid conversation with adequate communication skills,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Customer care  support is very helpful and candid conversation with adequate communication skills 
Good,,Missing,Missing - Good
Bad,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Bad
Such an idiot,,Online Payment Issues,Online Payment Issues - Such an idiot 
"You are becoming scam company for  n people...there is no co ordination in the company.. despite telling the problem in pickup of product,you are not mentioning in the return thread & unnecessary delay in the same... every customer care executive doesn't know what the previous executive has done... every time you are cancelling the request & raise new issue so that new time line can be given...& After so much frustration customer, customer will stop contacting...& You will get money by fraudulent means...Shame on you   again repeat Shame on You..",,Reverse Pickup Enquiry,Reverse Pickup Enquiry - You are becoming scam company for  n people...there is no co ordination in the company.. despite tel
Nice job Shopzilla ??,,Return request,Return request - Nice job Shopzilla ??
I am advice please don't shoping Shopzilla,,Product Specific Information,Product Specific Information - I am advice please don't shoping Shopzilla 
We need excustive to solve the problem not like to just hear it and say I apologise for the issue. My problem not slove.,,Order status enquiry,Order status enquiry - We need excustive to solve the problem not like to just hear it and say I apologise for the issue. M
Return request of my product,,Product Specific Information,Product Specific Information - Return request of my product 
They have taken 40 mins to resolve my issue,,Unable to track,Unable to track - They have taken 40 mins to resolve my issue 
Good work good service,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Good work good service 
Very good,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Very good
This is totally we are cheating with our customersKindly be in ethical business,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - This is totally we are cheating with our customersKindly be in ethical business 
My problem solve,,Order status enquiry,Order status enquiry - My problem solve
Support Executive should be supportive towards Customer,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Support Executive should be supportive towards Customer 
Viby,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Viby
I Am Really Happy To Talk With Customer Support Executive Named KirtiiShe Tried Every Possible Way To Resolve My Concern Thanks,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - I Am Really Happy To Talk With Customer Support Executive Named KirtiiShe Tried Every Possible Way T
TQ sir,,Technician Visit,Technician Visit - TQ sir
Good,,Missing,Missing - Good 
Communication skill is nice,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Communication skill is nice
Excellent,,Installation/demo,Installation/demo - Excellent 
They take a lot of time to coordinate back again,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - They take a lot of time to coordinate back again 
Agent was half asleep ??,,Delayed,Delayed - Agent was half asleep ??
Thanks Shopzilla,,Service Centres Related,Service Centres Related - Thanks Shopzilla
Very nice,,Delayed,Delayed - Very nice 
????????,,Service Centres Related,Service Centres Related - ????????
Good and prominent reply,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Good and prominent reply
Horrible support not at all customer centric,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Horrible support not at all customer centric
No,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - No
Outstanding,,Return request,Return request - Outstanding 
"Very very poor serviceShopzilla,",,Missing,"Missing - Very very poor serviceShopzilla,"
So cool service,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - So cool service 
Very kind person and understand my problem,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Very kind person and understand my problem  
okl,,Fraudulent User,Fraudulent User - okl
Resolve my issue aspa,,Delayed,Delayed - Resolve my issue aspa
"In 3 fold umbrella by Shopzilla smartbuy they are still showing 7 days return policy, I do believe when I order my 2 fold umbrella of Shopzilla smartbuy it had return policy as well.",,Reverse Pickup Enquiry,"Reverse Pickup Enquiry - In 3 fold umbrella by Shopzilla smartbuy they are still showing 7 days return policy, I do believe w"
I love you Shopzilla,,Installation/demo,Installation/demo - I love you Shopzilla 
Shopzilla is a thief and it makes fool to their customers ??,,Return request,Return request - Shopzilla is a thief and it makes fool to their customers ??
I got Very bad products,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - I got Very bad products 
A instant online 24 hour chat system which directly slove customer issue.,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - A instant online 24 hour chat system which directly slove customer issue.
Good,,Order status enquiry,Order status enquiry - Good 
"Mrp rs 95 and I m buying 130, so pls return my payment..Your seller was froud.",,Reverse Pickup Enquiry,"Reverse Pickup Enquiry - Mrp rs 95 and I m buying 130, so pls return my payment..Your seller was froud."
Please refund my bank account not Shopzilla wallet ok,,Refund Enquiry,Refund Enquiry - Please refund my bank account not Shopzilla wallet ok
"Till now my problem have not been solved, but exicutive behaviour so good",,Invoice request,"Invoice request - Till now my problem have not been solved, but exicutive behaviour so good"
I'm happy ?? thank you for the customer support,,Return request,Return request - I'm happy ?? thank you for the customer support 
"I received an fake iPhone 14 pro from Shopzilla, No support from Shopzilla yet.",,Service Centres Related,"Service Centres Related - I received an fake iPhone 14 pro from Shopzilla, No support from Shopzilla yet."
The service executive handled the issue very politely and explained everything in ease way I'm satisfied with the support,,Order status enquiry,Order status enquiry - The service executive handled the issue very politely and explained everything in ease way I'm satis
Good,,Damaged,Damaged - Good 
Very i,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Very i
The delivery boy's number should be mandatory so that the customer can connect himself,,Delayed,Delayed - The delivery boy's number should be mandatory so that the customer can connect himself
Give a warranty period from your side means from Shopzilla it will differentiate from other e-commerce company.,,Product Specific Information,Product Specific Information - Give a warranty period from your side means from Shopzilla it will differentiate from other e-commer
Nice person,,Delayed,Delayed - Nice person 
GG,,Product Specific Information,Product Specific Information - GG
Shopzilla needs to improve on support services support and after sales services are declining very fast day to day,,Invoice request,Invoice request - Shopzilla needs to improve on support services support and after sales services are declining very f
Best service,,Refund Enquiry,Refund Enquiry - Best service
Thanks,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Thanks 
"refund my money your terms and conditions i followed . but your side not followed the terms 10 to 15 days refund , but now 20 days gone still i dont received the refund.. i payed the emi of cancelled order , very worst support from Shopzilla i never seen this before from fli",,Refund Related Issues,Refund Related Issues - refund my money your terms and conditions i followed . but your side not followed the terms 10 to 15
No,,Refund Enquiry,Refund Enquiry - No
nice,,Online Payment Issues,Online Payment Issues - nice 
Right,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Right
good,,PayLater related,PayLater related -   good 
Weldone boys,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Weldone boys
Shopzilla is the worst app.  This is my last order from Shopzilla and no one from my family or friends will ever orderfrom Shopzilla after this issue. You took my money and did not deliver my guitar strings. You will rot in hell.,,Delayed,Delayed - Shopzilla is the worst app.  This is my last order from Shopzilla and no one from my family or frien
Thank you,,Technician Visit,Technician Visit - Thank you 
Very Poor Support,,Affiliate Offers,Affiliate Offers - Very Poor Support
Bad,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Bad 
My problem is not solved by customer service and very poor service,,Refund Related Issues,Refund Related Issues - My problem is not solved by customer service and very poor service 
Very Nice response from Shopzilla person,,Fraudulent User,Fraudulent User - Very Nice response from Shopzilla person
Good service,,Service Centres Related,Service Centres Related - Good service 
very good,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - very good 
Thanks sir,,Installation/demo,Installation/demo - Thanks sir 
Very nice customer support person <3,,Wrong,Wrong - Very nice customer support person <3
Good,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Good 
I am very happy is is product very nice,,Order status enquiry,Order status enquiry - I am very happy is is product very nice 
good,,General Enquiry,General Enquiry -   good 
Good,,Order status enquiry,Order status enquiry - Good 
Please solve my problem,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Please solve my problem 
Please stop fake product sell and fake delivered when its not reached to customers,,Installation/demo,Installation/demo - Please stop fake product sell and fake delivered when its not reached to customers
Make your service better it is very poor.,,Installation/demo,Installation/demo - Make your service better it is very poor.
** off,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - ** off
Customer support was very effective but it did not solved my problem yet . It brought so much difficulty even being plus member on Shopzilla. My first return request was rejected by seller even I gave all the necessary information. And attached necessary documents also. This was not expected from Shopzilla.,,Wrong,Wrong - Customer support was very effective but it did not solved my problem yet . It brought so much diffic
Excellent ??,,Installation/demo,Installation/demo - Excellent ??
Very very good,,UnProfessional Behaviour,UnProfessional Behaviour - Very very good
Please support provide till result and work with customer as a good person.,,Product Specific Information,Product Specific Information - Please support provide till result and work with customer as a good person.
Install my bed by today .. its already very late since you have delayed,,Installation/demo,Installation/demo - Install my bed by today .. its already very late since you have delayed
My return pick up was not completed even it was cancelled by the pickup agent and its status is cancelled by the customer even I did not cancel it is not good proper solution. This is not expected from the Shopzilla.Please arrange my pickup or send me money back at earliest.,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - My return pick up was not completed even it was cancelled by the pickup agent and its status is canc
Please,,Fraudulent User,Fraudulent User - Please 
Good,,Installation/demo,Installation/demo - Good
Package??ke aupar thoda dhyan dijiye........,,Missing,Missing - Package??ke aupar thoda dhyan dijiye........ 
Very bad service... Why my order is not delivered yet... It's not on time... You are not supposed to make your customers feel bad... I wanty order today itself,,Order status enquiry,Order status enquiry - Very bad service... Why my order is not delivered yet... It's not on time... You are not supposed to
Your delivery service is slowI m not happy your service,,Order status enquiry,Order status enquiry - Your delivery service is slowI m not happy your service 
Good ??,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Good ??
Ok,,Delayed,Delayed - Ok
Pls solved customer query asap??,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Pls solved customer query asap??
Very nice ??,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Very nice ??
Please proper support for customer.I m not setisfy for service.,,Fraudulent User,Fraudulent User - Please proper support for customer.I m not setisfy for service.
give more information regarding offer and cashback coupons to ur executives.,,Product Specific Information,Product Specific Information - give more information regarding offer and cashback coupons to ur executives.
Diapointed,,Service Centres Related,Service Centres Related - Diapointed
Thank you,,Seller Cancelled Order,Seller Cancelled Order - Thank you
The man was very kind and he was talking me very polite.,,Priority delivery,Priority delivery - The man was very kind and he was talking me very polite. 
Krat   & NetSuper are fraud sellers. Save your innocent customer from them.,,Product Specific Information,Product Specific Information - Krat   & NetSuper are fraud sellers. Save your innocent customer from them. 
Very good,,Wrong,Wrong - Very good 
I am satisfied,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - I am satisfied 
Nice,,Missing,Missing - Nice
Order 28 ka magaya tha aur 30 bhej diya hai,,Return request,Return request - Order 28 ka magaya tha aur 30 bhej diya hai 
We discontentd with this late order,,Delayed,Delayed - We discontentd with this late order 
Thanks  for helping me ????????,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Thanks  for helping me ????????
Good,,UnProfessional Behaviour,UnProfessional Behaviour - Good
Good ????,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Good ????
Good working,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Good working
Third class company because of third class customer service.From 8th August your senior team and juniors are giving me lolipop not satisfactory answer.This is ridiculous.Shopzilla provided internal damaged TV and not pro,,Service Centres Related,Service Centres Related - Third class company because of third class customer service.From 8th August your senior team and jun
How someone like her could be a senior support executive\u2026.horrible experience with this girl .allegedly said that i have the product and i am lying,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - How someone like her could be a senior support executive\u2026.horrible experience with this girl .a
Than,,Return request,Return request - Than
Good,,Installation/demo,Installation/demo - Good
Thanks Sumit Sir For being well informed,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Thanks Sumit Sir For being well informed
Given good support ??,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Given good support ??
Good,,Installation/demo,Installation/demo - Good
"I called 3 times a day. Everytime I say the same thing,they say the same thing and the call gest disconnected. The return request is getting processed for 15 days now, no resolution. Regretting a lot for coming back to Shopzilla.",,Technician Visit,"Technician Visit - I called 3 times a day. Everytime I say the same thing,they say the same thing and the call gest dis"
